Most Common Words,Frequency

WEB Address,https://www.fuckhead.at/
always,6
Piketty,5
capital,5
capitalism,4
Demons,4
borders,4
Heaven,3
Redistribution,3
property,3
lets,3
baby,3
big,2
before,2
etcetera,2
people,2
give,2
alternative,2
hope,2
change,2
border,2

WEB address,http://www.interstellarrecords.at/index.php
release,49
new,46
link,41
releases,38
records,31
album,29
interstellar,28
interstellar,21
one,21
TUMIDO,20
mailorder,20
like,19
time,19
upcoming,19
years,18
first,18
year,18
records,17
released,17
Tumido,14

WEB address,https://kuprosauwald.org/
Saved,10
Obernberg,9
Petra,8
October,7
Art house,6
Castle,6
Esternberg,6
Sunday,5
Helmut,5
exhibition,4
all,4
Saturday,4
Innviertler,4
Heinz,4
Augustin,4
Samir,4
Thomas,4
three,4
July,4
became,4

WEB address,https://röda.at/der-verein/
technical,7
storage,6
Steyr,4
culture,4
purpose,4
access,4
since,3
Wehrgraben,3
events,3
art,3
young people,3
clock,3
necessary,3
cultural association,2
cultural association,2
long,2
lies,2
life,2
years,2
RÖDA,2

WEB address,http://www.grgr.at/
Gregor,20
Göttfert,10
Work,10
Posted,10
installation,6
light,6
Florian,4
Kofler,4
electromagnetism,4
performanceGregor,4
aeterna,3
incandescent,3
Visualized,3
reactive,3
technical,3
January,3
ongoing,2
installationFlorian,2
running,2
implementation,2

WEB address,https://www.grgr.at/aboutme/
installation,10
performance,7
interactive,7
media,6
exhibition,6
light,5
Attersee,4
Linz,4
university,4
art,4
work,4
Electroacoustic,4
Ars,4
Elec
